fecha,titulo,estado,fenomeno,mes,mes_es
2003-10-30,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por la presencia del huracán Marty que se presentó el 21 de septiembre de 2003 y sus posibles efectos en la población de los municipios de Los Cabos, La Paz, Comondú, Loreto y Mulegé del Estado de Baja California Sur",Baja California Sur,huracán,10,octubre
2003-10-30,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias atípicas ocurridas los días 4 al 11 de septiembre de 2003 y sus posibles efectos en la población de los municipios de Acámbaro y Yuriria del Estado de Guanajuato",Guanajuato,lluvia,10,octubre
2003-10-30,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas del río Lerma los días 14 y 15 de septiembre de 2003 y sus posibles efectos en la población de diversos municipios del Estado de Michoacán",Michoacán,inundación,10,octubre
2003-10-31,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas ocasionadas por el desbordamiento de los ríos Verde y Lerma-Santiago, a consecuencia de las lluvias torrenciales que se presentaron del 4 al 7 de septiembre de 2003 y sus efectos en la población de diversos municipios del Estado de Jalisco",Jalisco,inundación,10,octubre
2003-10-31,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las inundaciones atípicas ocasionadas por el desbordamiento del Río Lerma, a consecuencia de las lluvias torrenciales que se presentaron del 4 al 7 de septiembre de 2003 y sus efectos en la población del Municipio de Salamanca del Estado de Guanajuato",Guanajuato,inundación,10,octubre
2003-11-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias atípicas que se presentaron el 7, 8 y 9 de septiembre de 2003 y sus posibles efectos en la población del Municipio de Aguascalientes del Estado de Aguascalientes",Aguascalientes,lluvia,11,noviembre
2003-11-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias atípicas ocurridas durante los días 4 al 11 de septiembre de 2003 y sus posibles efectos en la población de diversos municipios del Estado de Guanajuato",Guanajuato,lluvia,11,noviembre
2003-11-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias atípicas ocurridas los días 14 y 15 de septiembre de 2003 y sus posibles efectos en la población de los municipios de Briseñas y Morelia del Estado de Michoacán",Michoacán,lluvia,11,noviembre
2003-11-14,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias torrenciales ocurridas los días 22 y 23 de septiembre de 2003 y sus posibles efectos en la población de los municipios de Cañitas de Felipe Pescador, Juan Aldama y Villa de Cos del Estado de Zacatecas",Zacatecas,lluvia,11,noviembre
2003-11-26,Declaratoria de Emergencia por la presencia del huracán Ignacio y sus efectos en la población de diversos municipios del Estado de Baja California Sur,Baja California Sur,huracán,11,noviembre
2003-11-26,Declaratoria de Emergencia con motivo de las fuertes precipitaciones por el paso de la tormenta tropical Larry y sus efectos en la población de diversos municipios del Estado de Chiapas,Chiapas,lluvia,11,noviembre
2003-11-26,Declaratoria de Emergencia con motivo de las precipitaciones que se presentaron del 18 al 22 de septiembre de 2003 y sus efectos en la población ubicada en el Municipio de Durango del Estado de Durango,Durango,lluvia,11,noviembre
2003-11-26,"Declaratoria de Emergencia por la presencia de las lluvias que se presentaron del 20 al 22 de septiembre de 2003 y sus efectos en la población de los municipios de Canatlán, Gómez Palacio, Lerdo, Nombre de Dios, Nuevo Ideal, Santiago Papasquiaro, Sichil y Vicente Guerrero del Estado de Durango",Guerrero,lluvia,11,noviembre
2003-11-26,"Declaratoria de Emergencia por la presencia de las lluvias que se presentaron del 20 al 22 de septiembre de 2003 y sus efectos en la población de los municipios de Coneto de Comonfort, Mapimí, Mezquital, Nazas, Pánuco de Coronado, Pueblo Nuevo y San Juan del Río del Estado de Durango",Durango,lluvia,11,noviembre
2003-11-26,"Declaratoria de Emergencia con motivo de las lluvias que se presentaron los días 6, 7 y 8 de septiembre y sus efectos en la población de diversos municipios del Estado de Nayarit",Nayarit,lluvia,11,noviembre
2003-11-26,"Declaratoria de Emergencia por la presencia de las lluvias que se presentaron los días 19, 20 y 21 de septiembre de 2003 y sus efectos en la población de diversos municipios del Estado de Nayarit",Nayarit,lluvia,11,noviembre
2003-11-26,Declaratoria de Emergencia con motivo de las fuertes precipitaciones por el paso de la tormenta tropical Larry y sus efectos en la población de diversos municipios del Estado de Oaxaca,Oaxaca,lluvia,11,noviembre
2003-11-26,Declaratoria de Emergencia ante la inminencia de afectaciones por la presencia del huracán Marty y sus efectos en la población de diversos municipios del Estado de Sonora,Sonora,huracán,11,noviembre
2003-11-26,Declaratoria de Emergencia por la presencia de la tormenta tropical Larry y sus efectos en la población de diversos municipios del Estado de Tabasco,Tabasco,tormenta,11,noviembre
2003-11-26,Declaratoria de Emergencia por la presencia de las lluvias que se presentaron del 18 al 22 de septiembre de 2003 y sus efectos en la población de diversos municipios del Estado de Veracruz,Veracruz,lluvia,11,noviembre
2003-11-26,Declaratoria de Emergencia por la presencia del huracán Ignacio y sus efectos en la población de diversos municipios del Estado de Veracruz,Veracruz,huracán,11,noviembre
2003-11-26,"Declaratoria de Emergencia por la presencia de las lluvias que se presentaron del 26 al 29 de septiembre y del 1 al 3 de octubre de 2003, y sus efectos en la población de los municipios de Boca del Río y Nanchital de Lázaro Cárdenas del Río del Estado de Veracruz",Veracruz,lluvia,11,noviembre
2003-11-26,"Declaratoria de Emergencia por la presencia de las lluvias que se presentaron del 26 al 29 de septiembre y del 1 al 3 de octubre de 2003, y sus efectos en la población de los municipios de Coatzalcoalcos, Coyutla, Ursulo Galván, Cerro Azul y Nautla del Estado de Veracruz",Veracruz,lluvia,11,noviembre
2003-11-26,"Declaratoria de Emergencia por la presencia de las lluvias que se presentaron los días 19, 20 y 21 de septiembre de 2003 y sus efectos en la población de diversos municipios del Estado de Zacatecas",Zacatecas,lluvia,11,noviembre
2003-12-03,Declaratoria de Emergencia con motivo de los incendios forestales y sus efectos en la población de diversos municipios del Estado de Campeche,Campeche,incendio,12,diciembre
2003-12-03,Declaratoria de Emergencia con motivo de los incendios forestales y sus efectos en la población de diversos municipios del Estado de Chiapas,Chiapas,incendio,12,diciembre
2003-12-03,Declaratoria de Emergencia con motivo de las fuertes precipitaciones por el paso de la tormenta tropical Larry y sus posibles efectos en la población de diversos municipios del Estado de Chiapas,Chiapas,lluvia,12,diciembre
2003-12-03,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias intensas que se presentaron los días del 5 al 8 de septiembre de 2003 y sus posibles efectos en la población del Municipio de La Yesca del Estado de Nayarit",Nayarit,lluvia,12,diciembre
2003-12-03,"Declaratoria de Emergencia para efectos de las Reglas de Operación del Fondo de Desastres Naturales (FONDEN) vigentes, en virtud de los daños provocados por las lluvias torrenciales que se presentaron los días del 19 al 21 de septiembre de 2003 y sus posibles efectos en la población de los municipios de Acaponeta, Tecuala y Ruiz del Estado de Nayarit",Nayarit,lluvia,12,diciembre
2003-12-03,Declaratoria de Emergencia con motivo de la inminente afectación de la tormenta tropical Claudette y sus posibles efectos en la población de diversos municipios del Estado de Quintana Roo,Quintana Roo,tormenta,12,diciembre
2003-12-03,Declaratoria de Emergencia con motivo de las lluvias torrenciales que se presentaron del 18 al 22 de septiembre de 2003 y sus efectos en la población de diversos municipios del Estado de Veracruz,Veracruz,lluvia,12,diciembre
2003-12-03,Declaratoria de Emergencia con motivo de las lluvias torrenciales que se presentaron del 31 de octubre al 2 de noviembre de 2003 y sus efectos en la población de diversos municipios del Estado de Veracruz,Veracruz,lluvia,12,diciembre
2003-12-05,Declaratoria de Emergencia ante la inminente afectación del ciclón tropical Claudette y sus efectos en la población de diversos municipios del Estado de Yucatán,Yucatán,ciclón,12,diciembre
2003-12-11,"Declaratoria de Emergencia ante la tormenta tropical Larry, que se presentó del 3 al 10 de octubre del presente año y sus efectos en la población de diversos municipios del Estado de Oaxaca",Oaxaca,tormenta,12,diciembre
2003-12-11,"Declaratoria de Emergencia con motivo de los fuertes vientos, lluvias torrenciales e inundaciones que se presentaron del 5 al 8 de octubre del presente año y sus efectos en la población de diversos municipios del Estado de Veracruz",Veracruz,vientos,12,diciembre
2003-12-17,Declaratoria de Emergencia con motivo de lluvias torrenciales que se presentaron del 31 de octubre al 13 de noviembre de 2003 y sus efectos en la población de diversos municipios del Estado de Veracruz,Veracruz,lluvia,12,diciembre
2003-12-17,"Declaratoria de Emergencia con motivo de incendios forestales que se presentaron los días 12, 16 y 19 de mayo del presente año y sus efectos en la población de diversos municipios del Estado de Yucatán",Yucatán,incendio,12,diciembre
2003-12-24,Declaratoria de Emergencia con motivo de las lluvias torrenciales e inundaciones atípicas y sus efectos en la población de diversos municipios del Estado de Querétaro,Querétaro,lluvia,12,diciembre
2003-12-24,Declaratoria de Emergencia con motivo de la presencia de la tormenta tropical Larry y sus efectos en la población de diversos municipios del Estado de Veracruz,Veracruz,tormenta,12,diciembre
2004-01-23,Declaratoria de Emergencia con motivo de heladas severas durante los últimos días de diciembre y sus efectos en la población de diversos municipios del Estado de Chihuahua,Chihuahua,helada,1,enero
2004-01-23,"Declaratoria de Emergencia con motivo de los fuertes vientos en la zona costera, descenso de temperatura y heladas en regiones montañosas que se presentaron del 16 al 18 de diciembre de 2003 y sus efectos en la población de diversos municipios del Estado de Veracruz",Veracruz,vientos,1,enero
2004-02-03,"Declaratoria de Emergencia con motivo de los fuertes vientos en la zona costera, descenso de temperatura y heladas en regiones montañosas que se presentaron del 3 al 5 de enero de 2004 y sus efectos en la población en el Municipio de Acultzingo del Estado de Veracruz",Veracruz,vientos,2,febrero
2004-03-02,"Declaratoria de Emergencia con motivo de las temperaturas mínimas extremas y nevadas que se presentaron en el mes de enero de 2004, que afectaron a la población de diversos municipios del Estado de Durango",Durango,temperaturas mínimas,3,marzo
2004-03-02,"Declaratoria de Emergencia con motivo de los vientos fuertes y violentos en la zona costera, descenso de temperatura y heladas en regiones montañosas que se presentaron del 5 al 17 de enero de 2004 y su efecto en el Municipio de Ayahualulco del Estado de Veracruz",Veracruz,vientos,3,marzo
2004-03-02,"Declaratoria de Emergencia con motivo de los vientos fuertes y violentos en la zona costera, descenso de temperatura y heladas en regiones montañosas que se presentaron del 5 al 17 de enero de 2004 y sus efectos en la población de diversos municipios del Estado de Veracruz",Veracruz,vientos,3,marzo
2004-03-02,"Declaratoria de Emergencia con motivo de los vientos fuertes y violentos en la zona costera, descenso de temperatura y heladas en regiones montañosas que se presentaron del 9 al 16 de enero de 2004 y sus efectos en la población de diversos municipios del Estado de Veracruz",Veracruz,vientos,3,marzo
2004-03-02,Declaratoria de Emergencia con motivo de los fríos intensos acompañados de lluvias que se presentaron del 10 al 15 de enero de 2004 y sus efectos en la población de diversos municipios del Estado de Zacatecas,Zacatecas,lluvia,3,marzo
2004-04-05,"Declaratoria de Emergencia con motivo de las nevadas que provocaron bajas temperaturas de hasta 5°C bajo cero, ocasionando daños severos no previsibles que se presentaron del 30 de enero al 2 de febrero de 2004 y sus efectos en diversos municipios del Estado de Tlaxcala",Tlaxcala,nevada,4,abril
2004-05-06,Declaratoria de Emergencia con motivo de las lluvias torrenciales que se presentaron los días 4 y 5 de abril de 2004 y sus efectos en la población ubicada en los municipios de Piedras Negras y San Juan de Sabinas del Estado de Coahuila,Coahuila,lluvia,5,mayo
2004-05-19,Declaratoria de Emergencia con motivo de las lluvias torrenciales que se presentaron los días 4 y 5 de abril de 2004 y sus efectos en la población ubicada en los municipios de Zaragoza y Sabinas del Estado de Coahuila,Coahuila,lluvia,5,mayo
2004-08-03,"Declaratoria de Emergencia con motivo de los daños ocasionados a la población de Nextipac, en sus viviendas y cultivos por el fenómeno geológico en el Municipio de Zapopan del Estado de Jalisco",Jalisco,,8,agosto
2004-08-04,Declaratoria de Emergencia con motivo de las intensas lluvias provocadas por las ondas tropicales 7 y 8 que se presentaron los días 11 al 12 de junio de 2004 y sus efectos en la población del Municipio de Cozumel del Estado de Quintana Roo,Quintana Roo,lluvia,8,agosto
2004-08-12,"Declaratoria de Emergencia con motivo de las lluvias torrenciales ocurridas los días 5, 6 y 7 de junio y sus efectos en la población de diversos municipios del Estado de Jalisco",Jalisco,lluvia,8,agosto
